,keyword,category
hungary,hungary,place
hut,hut,things
hvac system,hvac system,things
hydrant,hydrant,things
hydro turbine,hydro turbine,things
ibadan nigeria,ibadan nigeria,place
ice bin,ice bin,things
ice cream maker,Ice cream maker,things
ice crusher,ice crusher,things
ice cube tray,Ice cube tray,things
ice pop,ice pop,things
ice sculpture,ice sculpture,things
ice tea,ice tea,things
ice tray,ice tray,things
ice water,Ice Water,things
iced coffee,Iced coffee,things
iceland,iceland,place
icicle,Icicle,things
igloo,igloo,things
ignition system,ignition system,things
illinois river,illinois river,place
impact crusher,impact crusher,things
impact wrench,impact wrench,things
impatiens,impatiens,things
incense,Incense,things
incheon south korea,incheon south korea,place
incubator,incubator,things
index card,Index Card,things
india,india,place
indianapolis indiana,indianapolis indiana,place
indonesia,indonesia,place
indore india,indore india,place
infrared sensor,infrared sensor,things
ingolstadt germany,ingolstadt germany,place
inhaler,Inhaler,things
ink cartridge,ink cartridge,things
innsbruck austria,innsbruck austria,place
insulation,Insulation,things
internet modem,internet modem,things
internet router,internet router,things
interstate,Interstate,things
inverter,inverter,things
invoice,invoice,things
iran,iran,place
iraq,iraq,place
ireland,ireland,place
iris,iris,things
irkutsk russia,irkutsk russia,place
iron,Iron,things
iron bar,Iron bar,things
ironing board,Ironing Board,things
irrigation system,Irrigation system,things
irvine california,irvine california,place
isafahan iran,isafahan iran,place
islamabad pakistan,islamabad pakistan,place
israel,israel,place
istanbul turkey,istanbul turkey,place
italy,italy,place
iv,IV,things
iv bag,iv bag,things
izmir turkey,izmir turkey,place
iztaccihuatl,iztaccihuatl,place
jabalpur india,jabalpur india,place
jack stand,jack stand,things
jacket,jacket,things
jackson mississippi,jackson mississippi,place
jacksonville florida,jacksonville florida,place
jaffa cake,jaffa cake,things
jakarta indonesia,jakarta indonesia,place
jalapa guatemala,jalapa guatemala,place
jam,jam,things
jamaica,jamaica,things
jane,jane,things
japan,japan,place
jasmine,jasmine,things
jeddah saudi arabia,jeddah saudi arabia,place
jello,jello,things
jersey,jersey,things
jerusalem israel,jerusalem israel,place
jewelry box,Jewelry Box,things
jinan china,jinan china,place
jining china,jining china,place
johannesburg south africa,johannesburg south africa,place
jordan,jordan,place
journal,Journal,things
joystick,Joystick,things
juarez mexico,juarez mexico,place
juice box,juice box,things
juicer,juicer,things
jumper cables,Jumper Cables,things
junction box,junction box,things
juniper bush,juniper bush,things
juniper tree,juniper tree,things
k2,k2,place
kabul afghanistan,kabul afghanistan,place
kagoshima japan,kagoshima japan,place
kalamata olive,kalamata olive,things
kale smoothie,Kale smoothie,things
kampala uganda,kampala uganda,place
kangchenjunga,kangchenjunga,place
karachi pakistan,karachi pakistan,place
karaoke machine,Karaoke machine,things
kathmandu nepal,kathmandu nepal,place
kaunas lithuania,kaunas lithuania,place
kawasaki japan,kawasaki japan,place
kazakhstan,kazakhstan,place
kelp,kelp,things
kentucky,kentucky,things
kenya,kenya,place
ketchup,ketchup,things
key chain,Key chain,things
key ring,key ring,things
keyring,keyring,things
khaki pants,Khaki pants,things
kheer,kheer,things
kickstand,kickstand,things
kiev ukraine,kiev ukraine,place
kilimanjaro,kilimanjaro,place
king snake,king snake,things
kingston jamaica,kingston jamaica,place
kiosk,kiosk,things
kiribati,kiribati,place
kitchen cabinet,Kitchen cabinet,things
kitchen island,kitchen island,things
kitchen knife,kitchen knife,things
kitchen table,Kitchen table,things
kitchenette,kitchenette,things
kiwifruit,kiwifruit,things
knapweed,knapweed,things
knitting needle,knitting needle,things
kolkata india,kolkata india,place
komodo dragon,Komodo dragon,things
kosovo,kosovo,place
kuala lumpur malaysia,kuala lumpur malaysia,place
kunming china,kunming china,place
kuwait,kuwait,place
kyiv ukraine,kyiv ukraine,place
kyoto japan,kyoto japan,place
kyrgyzstan,kyrgyzstan,place
la paz bolivia,la paz bolivia,place
lab coat,Lab coat,things
laboratory manual,laboratory manual,things
lace,lace,things
lace dress,lace dress,things
lace top,lace top,things
lagoon,lagoon,things
lagos nigeria,lagos nigeria,place
lanyard,Lanyard,things
laos,laos,place
laptop,Laptop,things
laser beam,Laser beam,things
lathe,Lathe,things
latte,Latte,things
latvia,latvia,place
laundry basket,laundry basket,things
laundry cart,laundry cart,things
lausanne switzerland,lausanne switzerland,place
lawn mower,lawn mower,things
lawnmower,Lawnmower,things
laxative,laxative,things
leaf,leaf,things
leaf rake,leaf rake,things
leash,leash,things
lebanon,lebanon,place
leeds england,leeds england,place
legal pad,legal pad,things
lego,Lego,things
leipzig germany,leipzig germany,place
lemming,lemming,things
lemon balm,lemon balm,things
lemon juice,lemon juice,things
lemon wedge,lemon wedge,things
lemon zest,lemon zest,things
leopard,leopard,things
leotard,leotard,things
lesotho,lesotho,place
level sensor,level sensor,things
lhotse,lhotse,place
liberia,liberia,place
library card,Library Card,things
library stamp,library stamp,things
libya,libya,place
license plate,license plate,things
lid,lid,things
liechtenstein,liechtenstein,place
lifter,lifter,things
lifting belt,lifting belt,things
lifting crane,lifting crane,things
light switch,Light Switch,things
lightbulb,Lightbulb,things
lighting rig,lighting rig,things
lily,lily,things
lima peru,lima peru,place
lime,lime,things
limousine,limousine,things
linen,linen,things
lint brush,lint brush,things
lint roller,Lint Roller,things
lint trap,lint trap,things
lipstick,lipstick,things
lisbon portugal,lisbon portugal,place
lithuania,lithuania,place
litter scooper,Litter scooper,things
liverpool england,liverpool england,place
livestock trailer,livestock trailer,things
ljubljana slovenia,ljubljana slovenia,place
loading ramp,loading ramp,things
lodge,lodge,things
london england,london england,place
loose change,loose change,things
los angeles california,los angeles california,place
lottery ticket,Lottery Ticket,things
luanda angola,luanda angola,place
lug,lug,things
luggage,Luggage,things
lusaka zambia,lusaka zambia,place
luxembourg,luxembourg,place
lviv ukraine,lviv ukraine,place
lyon france,lyon france,place
madagascar,madagascar,place
madrid spain,madrid spain,place
magazine rack,magazine rack,things
magnet,magnet,things
mail truck,mail truck,things
